SHOP_WEEK,SHOP_DATE,SHOP_WEEKDAY,SHOP_HOUR,QUANTITY,SPEND,PROD_CODE,PROD_CODE_10,PROD_CODE_20,PROD_CODE_30,PROD_CODE_40,CUST_CODE,CUST_PRICE_SENSITIVITY,CUST_LIFESTAGE,BASKET_ID,BASKET_SIZE,BASKET_PRICE_SENSITIVITY,BASKET_TYPE,BASKET_DOMINANT_MISSION,STORE_CODE,STORE_FORMAT,STORE_REGION
200607,20060413,5,20,1,1.03,PRD0900097,CL00001,DEP00001,G00001,D00001,CUST0000634693,LA,YF,9.94E+14,L,LA,Top Up,Fresh,STORE00001,LS,E02
200607,20060416,1,14,1,0.98,PRD0900121,CL00063,DEP00019,G00007,D00002,,,,9.94E+14,L,MM,Top Up,Grocery,STORE00001,LS,E02
200607,20060415,7,19,1,3.07,PRD0900135,CL00201,DEP00067,G00021,D00005,CUST0000410727,UM,OT,9.94E+14,L,MM,Full Shop,Mixed,STORE00001,LS,E02
200607,20060415,7,19,1,4.81,PRD0900220,CL00051,DEP00013,G00005,D00002,CUST0000410727,UM,OT,9.94E+14,L,MM,Full Shop,Mixed,STORE00001,LS,E02
200607,20060412,4,19,1,0.28,PRD0900353,CL00070,DEP00020,G00007,D00002,CUST0000634693,LA,YF,9.94E+14,M,MM,Small Shop,Fresh,STORE00001,LS,E02
200607,20060413,5,18,1,1.56,PRD0900547,CL00076,DEP00022,G00007,D00002,,,,9.94E+14,M,LA,Small Shop,Fresh,STORE00001,LS,E02
200607,20060413,5,20,3,0.84,PRD0900550,CL00167,DEP00055,G00016,D00003,CUST0000634693,LA,YF,9.94E+14,L,LA,Top Up,Fresh,STORE00001,LS,E02
200607,20060413,5,18,1,1.09,PRD0900614,CL00162,DEP00055,G00016,D00003,,,,9.94E+14,M,LA,Small Shop,Fresh,STORE00001,LS,E02
200607,20060415,7,19,1,1.62,PRD0900709,CL00205,DEP00069,G00022,D00005,CUST0000410727,UM,OT,9.94E+14,L,MM,Full Shop,Mixed,STORE00001,LS,E02
200607,20060415,7,19,1,1.85,PRD0900713,CL00165,DEP00055,G00016,D00003,CUST0000410727,UM,OT,9.94E+14,L,MM,Full Shop,Mixed,STORE00001,LS,E02
200607,20060415,7,19,1,1.11,PRD0900747,CL00138,DEP00048,G00013,D00003,CUST0000410727,UM,OT,9.94E+14,L,MM,Full Shop,Mixed,STORE00001,LS,E02
200607,20060415,7,19,1,1.49,PRD0901028,CL00074,DEP00021,G00007,D00002,CUST0000410727,UM,OT,9.94E+14,L,MM,Full Shop,Mixed,STORE00001,LS,E02
200607,20060416,1,14,1,1.3,PRD0901037,CL00162,DEP00055,G00016,D00003,,,,9.94E+14,L,MM,Top Up,Grocery,STORE00001,LS,E02
200607,20060412,4,19,1,2.21,PRD0901647,CL00010,DEP00003,G00002,D00001,CUST0000634693,LA,YF,9.94E+14,M,MM,Small Shop,Fresh,STORE00001,LS,E02
200607,20060415,7,19,1,0.81,PRD0901661,CL00015,DEP00004,G00003,D00001,CUST0000410727,UM,OT,9.94E+14,L,MM,Full Shop,Mixed,STORE00001,LS,E02
200607,20060415,7,19,1,1.25,PRD0901663,CL00111,DEP00039,G00010,D00003,CUST0000410727,UM,OT,9.94E+14,L,MM,Full Shop,Mixed,STORE00001,LS,E02
200607,20060415,7,19,1,3.34,PRD0902064,CL00073,DEP00021,G00007,D00002,CUST0000410727,UM,OT,9.94E+14,L,MM,Full Shop,Mixed,STORE00001,LS,E02
200607,20060413,5,20,1,3.34,PRD0902064,CL00073,DEP00021,G00007,D00002,CUST0000634693,LA,YF,9.94E+14,L,LA,Top Up,Fresh,STORE00001,LS,E02
200607,20060415,7,19,1,0.01,PRD0902244,CL00214,DEP00071,G00022,D00005,CUST0000410727,UM,OT,9.94E+14,L,MM,Full Shop,Mixed,STORE00001,LS,E02
200607,20060413,5,20,6,1.56,PRD0902293,CL00167,DEP00055,G00016,D00003,CUST0000634693,LA,YF,9.94E+14,L,LA,Top Up,Fresh,STORE00001,LS,E02
200607,20060415,7,19,1,1.16,PRD0902617,CL00111,DEP00039,G00010,D00003,CUST0000410727,UM,OT,9.94E+14,L,MM,Full Shop,Mixed,STORE00001,LS,E02
200607,20060415,7,19,1,2.88,PRD0902703,CL00050,DEP00013,G00005,D00002,CUST0000410727,UM,OT,9.94E+14,L,MM,Full Shop,Mixed,STORE00001,LS,E02
200607,20060415,7,19,1,2.44,PRD0902822,CL00145,DEP00051,G00015,D00003,CUST0000410727,UM,OT,9.94E+14,L,MM,Full Shop,Mixed,STORE00001,LS,E02
200607,20060415,7,19,1,0.57,PRD0902891,CL00108,DEP00037,G00010,D00003,CUST0000410727,UM,OT,9.94E+14,L,MM,Full Shop,Mixed,STORE00001,LS,E02
200607,20060413,5,20,1,1.01,PRD0903074,CL00045,DEP00011,G00004,D00002,CUST0000634693,LA,YF,9.94E+14,L,LA,Top Up,Fresh,STORE00001,LS,E02
200607,20060415,7,19,1,1.81,PRD0903081,CL00104,DEP00036,G00010,D00003,CUST0000410727,UM,OT,9.94E+14,L,MM,Full Shop,Mixed,STORE00001,LS,E02
200607,20060415,7,19,1,1.95,PRD0903147,CL00089,DEP00025,G00008,D00002,CUST0000410727,UM,OT,9.94E+14,L,MM,Full Shop,Mixed,STORE00001,LS,E02
200607,20060416,1,14,6,5.34,PRD0903228,CL00138,DEP00048,G00013,D00003,,,,9.94E+14,L,MM,Top Up,Grocery,STORE00001,LS,E02
200607,20060413,5,18,1,1.29,PRD0903286,CL00079,DEP00022,G00007,D00002,,,,9.94E+14,M,LA,Small Shop,Fresh,STORE00001,LS,E02
200607,20060413,5,18,3,2.16,PRD0903338,CL00075,DEP00022,G00007,D00002,,,,9.94E+14,M,LA,Small Shop,Fresh,STORE00001,LS,E02
200607,20060412,4,19,3,1.92,PRD0903409,CL00070,DEP00020,G00007,D00002,CUST0000634693,LA,YF,9.94E+14,M,MM,Small Shop,Fresh,STORE00001,LS,E02
200607,20060415,7,19,1,5.44,PRD0903515,CL00058,DEP00016,G00006,D00002,CUST0000410727,UM,OT,9.94E+14,L,MM,Full Shop,Mixed,STORE00001,LS,E02
200607,20060416,1,14,1,3.92,PRD0903782,CL00144,DEP00051,G00015,D00003,,,,9.94E+14,L,MM,Top Up,Grocery,STORE00001,LS,E02
200607,20060415,7,19,1,1.18,PRD0903791,CL00092,DEP00027,G00008,D00002,CUST0000410727,UM,OT,9.94E+14,L,MM,Full Shop,Mixed,STORE00001,LS,E02
200607,20060413,5,20,1,0.27,PRD0903934,CL00137,DEP00048,G00013,D00003,CUST0000634693,LA,YF,9.94E+14,L,LA,Top Up,Fresh,STORE00001,LS,E02
200607,20060412,4,19,3,4.65,PRD0904023,CL00076,DEP00022,G00007,D00002,CUST0000634693,LA,YF,9.94E+14,M,MM,Small Shop,Fresh,STORE00001,LS,E02
200607,20060415,7,19,3,6.24,PRD0904039,CL00103,DEP00035,G00010,D00003,CUST0000410727,UM,OT,9.94E+14,L,MM,Full Shop,Mixed,STORE00001,LS,E02
200607,20060415,7,19,1,0.32,PRD0904242,CL00143,DEP00050,G00014,D00003,CUST0000410727,UM,OT,9.94E+14,L,MM,Full Shop,Mixed,STORE00001,LS,E02
200607,20060413,5,20,1,1.29,PRD0904257,CL00041,DEP00011,G00004,D00002,CUST0000634693,LA,YF,9.94E+14,L,LA,Top Up,Fresh,STORE00001,LS,E02
200607,20060415,7,19,1,1.21,PRD0904409,CL00073,DEP00021,G00007,D00002,CUST0000410727,UM,OT,9.94E+14,L,MM,Full Shop,Mixed,STORE00001,LS,E02
200607,20060415,7,19,1,2.38,PRD0904684,CL00201,DEP00067,G00021,D00005,CUST0000410727,UM,OT,9.94E+14,L,MM,Full Shop,Mixed,STORE00001,LS,E02
200607,20060415,7,19,1,3.01,PRD0904709,CL00198,DEP00067,G00021,D00005,CUST0000410727,UM,OT,9.94E+14,L,MM,Full Shop,Mixed,STORE00001,LS,E02
200607,20060413,5,18,1,0.42,PRD0904772,CL00160,DEP00054,G00016,D00003,,,,9.94E+14,M,LA,Small Shop,Fresh,STORE00001,LS,E02
